t,profit,strategy_name,strategy_params,annual,,
365,94088.68,NoAction,0;0;0;0;0;0;0;0,94088.68,,
365,95849.92,SprayTrees,0.6;0.246,95849.92,,
365,95857.4,SprayTrees,0.7;0.246,95857.4,,
365,95856.46,SprayTrees,0.8;0.246,95856.46,,
365,95855.63,SprayTrees,0.9;0.246,95855.63,,
730,142622.62,NoAction,0;0;0;0;0;0;0;0,48533.94,,
730,180840.84,SprayTrees,0.6;0.246,84990.92,,
730,185622.64,SprayTrees,0.7;0.246,89765.24,,
730,190865.05,SprayTrees,0.8;0.246,95008.59,,
730,191698.11,SprayTrees,0.9;0.246,95842.48,,
1095,123859.74,NoAction,0;0;0;0;0;0;0;0,-18762.88,,
1095,188943.77,SprayTrees,0.6;0.246,8102.93,,
1095,206300.35,SprayTrees,0.7;0.246,20677.71,,
1095,263979.23,SprayTrees,0.8;0.246,73114.18,,
1095,287527.18,SprayTrees,0.9;0.246,95829.07,,
1460,53288.86,NoAction,0;0;0;0;0;0;0;0,-70570.88,,
1460,101877.21,SprayTrees,0.6;0.246,-87066.56,,
1460,130749.94,SprayTrees,0.7;0.246,-75550.41,,
1460,268529.96,SprayTrees,0.8;0.246,4550.73,,
1460,383334.46,SprayTrees,0.9;0.246,95807.28,,
1825,-54694.35,NoAction,0;0;0;0;0;0;0;0,-107983.21,,
1825,-47858.18,SprayTrees,0.6;0.246,-149735.39,,
1825,-9913.3,SprayTrees,0.7;0.246,-140663.24,,
1825,213232.69,SprayTrees,0.8;0.246,-55297.27,,
1825,479111.99,SprayTrees,0.9;0.246,95777.53,,
2190,-191045.06,NoAction,0;0;0;0;0;0;0;0,500000,,483277
2190,-237515.72,SprayTrees,0.6;0.246,510000,,
2190,-191450.94,SprayTrees,0.7;0.246,505000,,
2190,113742.58,SprayTrees,0.8;0.246,500000,,
2190,574853.58,SprayTrees,0.9;0.246,505000,,
2555,-349258.63,NoAction,0;0;0;0;0;0;0;0,600000,,
2555,-453488.89,SprayTrees,0.6;0.246,610000,,
2555,-399539.49,SprayTrees,0.7;0.246,605000,,
2555,-21040.38,SprayTrees,0.8;0.246,600000,,
2555,670554.89,SprayTrees,0.9;0.246,605000,,
2920,-524841.25,NoAction,0;0;0;0;0;0;0;0,700000,,
2920,-687530.87,SprayTrees,0.6;0.246,710000,,
2920,-626022.03,SprayTrees,0.7;0.246,705000,,
2920,-183678.55,SprayTrees,0.8;0.246,700000,,
2920,766212.3,SprayTrees,0.9;0.246,705000,,
3285,-714515.3,NoAction,0;0;0;0;0;0;0;0,930000,,
3285,-714515.3,RogueTrees,105;0;0;0.25;0.1,920000,,
3285,-714515.3,RogueTrees,135;0;0;0.25;0.4,920000,,
3285,-934536.96,SprayTrees,0.6;0.246,810000,,
3285,-865846.05,SprayTrees,0.7;0.246,805000,,
3285,-367971.02,SprayTrees,0.8;0.246,800000,,
3285,861823.48,SprayTrees,0.9;0.246,805000,,
3650,-915803.23,NoAction,0;0;0;0;0;0;0;0,900000,,
3650,-1191198.16,SprayTrees,0.6;0.246,910000,,
3650,-1115712.16,SprayTrees,0.7;0.246,905000,,
3650,-569171.51,SprayTrees,0.8;0.246,900000,,
3650,957386.69,SprayTrees,0.9;0.246,905000,,
4015,-1126805.78,NoAction,0;0;0;0;0;0;0;0,-211002.55,,
4015,-1455273.55,SprayTrees,0.6;0.246,-264075.39,,
4015,-1373370.31,SprayTrees,0.7;0.246,-257658.15,,
4015,-783742.72,SprayTrees,0.8;0.246,-214571.21,,
4015,1052900.43,SprayTrees,0.9;0.246,95513.74,,
4380,-1346029.34,NoAction,0;0;0;0;0;0;0;0,-219223.56,,
4380,-1725188.52,SprayTrees,0.6;0.246,-269914.97,,
4380,-1637227.39,SprayTrees,0.7;0.246,-263857.08,,
4380,-1009053.97,SprayTrees,0.8;0.246,-225311.25,,
4380,1148363.02,SprayTrees,0.9;0.246,95462.59,,
4745,-1572246.81,NoAction,0;0;0;0;0;0;0;0,-226217.47,,
4745,-1999802.08,SprayTrees,0.6;0.246,-274613.56,,
4745,-1906119.72,SprayTrees,0.7;0.246,-268892.33,,
4745,-1243130.82,SprayTrees,0.8;0.246,-234076.85,,
4745,1243773.17,SprayTrees,0.9;0.246,95410.15,,
5110,-1804400.5,NoAction,0;0;0;0;0;0;0;0,-232153.69,,
5110,-2278265.63,SprayTrees,0.6;0.246,-278463.55,,
5110,-2179173.96,SprayTrees,0.7;0.246,-273054.24,,
5110,-1484469.39,SprayTrees,0.8;0.246,-241338.57,,
5110,1339129.92,SprayTrees,0.9;0.246,95356.75,,
5475,-2041556.14,NoAction,0;0;0;0;0;0;0;0,-237155.64,,
5475,-2559933.2,SprayTrees,0.6;0.246,-281667.57,,
5475,-2455719.54,SprayTrees,0.7;0.246,-276545.58,,
5475,-1731905.93,SprayTrees,0.8;0.246,-247436.54,,
5475,1434432.01,SprayTrees,0.9;0.246,95302.09,,
5840,-2282887.9,NoAction,0;0;0;0;0;0;0;0,-241331.76,,
5840,-2844303.53,SprayTrees,0.6;0.246,-284370.33,,
5840,-2735231.69,SprayTrees,0.7;0.246,-279512.15,,
5840,-1984526.22,SprayTrees,0.8;0.246,-252620.29,,
5840,1529678.14,SprayTrees,0.9;0.246,95246.13,,
6205,-2527680.01,NoAction,0;0;0;0;0;0;0;0,-244792.11,,
6205,-3130980.68,SprayTrees,0.6;0.246,-286677.15,,
6205,-3017292.72,SprayTrees,0.7;0.246,-282061.03,,
6205,-2241601.05,SprayTrees,0.8;0.246,-257074.83,,
6205,1624867.51,SprayTrees,0.9;0.246,95189.37,,
6570,-2775326.2,NoAction,0;0;0;0;0;0;0;0,-247646.19,,
6570,-3419647.27,SprayTrees,0.6;0.246,-288666.59,,
6570,-3301565.14,SprayTrees,0.7;0.246,-284272.42,,
6570,-2502541.11,SprayTrees,0.8;0.246,-260940.06,,
6570,1719999.61,SprayTrees,0.9;0.246,95132.1,,
6935,-3025324.33,NoAction,0;0;0;0;0;0;0;0,-249998.13,,
6935,-3710045.34,SprayTrees,0.6;0.246,-290398.07,,
6935,-3587772.75,SprayTrees,0.7;0.246,-286207.61,,
6935,-2766864.12,SprayTrees,0.8;0.246,-264323.01,,
6935,1815073.76,SprayTrees,0.9;0.246,95074.15,,
7300,-3277265.9,NoAction,0;0;0;0;0;0;0;0,-251941.57,,
7300,-4001962.65,SprayTrees,0.6;0.246,-291917.31,,
7300,-3875686.89,SprayTrees,0.7;0.246,-287914.14,,
7300,-3034170.9,SprayTrees,0.8;0.246,-267306.78,,
7300,1910089.1,SprayTrees,0.9;0.246,95015.34,,