t,profit,strategy_name,strategy_params,annual,Cumulative5yearprofit,Cumulative5yearhibzeroprofit,Hlbzeroannual
365,87122.3064,SprayTrees,0.8;0.246,17132.59769,58475.86578, , 
365,85698.09072,SprayTrees,0.7;0.246,16773.04852,43741.00685, , 
365,80230.4211,NoAction,0;0;0;0;0;0;0,15467.82739,28930.47042, , 
365,9080.820649,SprayTreesOTC,0.7;0.246;0.21;0.245,16773.04852,56999.28689, , 
365,9250.49554,SprayTreesOTC,0.8;0.246;0.21;0.245,17132.59769,65987.40053, , 
730,152356.4565,SprayTrees,0.8;0.246,14273.61343,46163.15529, , 
730,132574.5494,SprayTrees,0.7;0.246,11764.75881,27765.83067, , 
730,92177.49278,NoAction,0;0;0;0;0;0;0,7921.587887,11665.74242, , 
730,6717.358091,SprayTreesOTC,0.7;0.246;0.21;0.245,11764.75881,46772.22242, , 
730,7901.311957,SprayTreesOTC,0.8;0.246;0.21;0.245,14273.61343,60629.40621, , 
1095,187913.1695,SprayTrees,0.8;0.246,11531.52013,35157.1078, , 
1095,132092.6683,SprayTrees,0.7;0.246,7733.932712,15352.99436, , 
1095,49539.53665,NoAction,0;0;0;0;0;0;0,4233.613484,714.6158017, , 
1095,4815.170493,SprayTreesOTC,0.7;0.246;0.21;0.245,7733.932712,39673.71286, , 
1095,6607.290399,SprayTreesOTC,0.8;0.246;0.21;0.245,11531.52013,56112.3785, , 
1460,193309.8657,SprayTrees,0.8;0.246,8862.185348,25637.7775, , 
1460,95834.36232,SprayTrees,0.7;0.246,4858.696314,5787.528599, , 
1460,-28072.0667,NoAction,0;0;0;0;0;0;0,1622.958393,-7524.645213, , 
1460,6745.81257,SprayTreesOTC,0.7;0.246;0.21;0.245,11825.05521,35067.53718, , 
1460,5347.604321,SprayTreesOTC,0.8;0.246;0.21;0.245,8862.185348,47708.61541, , 
1825,172802.3017,SprayTrees,0.8;0.246,6675.949172,17703.25452, , 
1825,31126.61999,SprayTrees,0.7;0.246,2610.570492,-1900.008204, , 
1825,-134041.2216,NoAction,0;0;0;0;0;0;0,-315.5167333,-13950.88792, , 
1825,5366.625268,SprayTreesOTC,0.7;0.246;0.21;0.245,8902.49164,25073.73934, , 
1825,7860.66657,SprayTreesOTC,0.8;0.246;0.21;0.245,14187.48392,45561.14114, , 
2190,129649.6889,SprayTrees,0.8;0.246,4819.887208,11014.8702, , 
2190,-58222.96711,SprayTrees,0.7;0.246,797.8723443,-8182.616261, , 
2190,-261938.5417,NoAction,0;0;0;0;0;0;0,-1796.900609,-19127.56678, , 
2190,4254.565506,SprayTreesOTC,0.7;0.246;0.21;0.245,6545.984048,16906.34886, , 
2190,6722.003838,SprayTreesOTC,0.8;0.246;0.21;0.245,11774.60337,36866.24152, , 
2555,66506.59066,SprayTrees,0.8;0.246,3267.565946,6194.982989, , 
2555,-168293.2325,SprayTrees,0.7;0.246,-648.0775003,-8980.488605, , 
2555,-409029.1389,NoAction,0;0;0;0;0;0;0,-3029.538734,-17330.66617, , 
2555,3367.499646,SprayTreesOTC,0.7;0.246;0.21;0.245,4666.24925,10360.36481, , 
2555,5769.680906,SprayTreesOTC,0.8;0.246;0.21;0.245,9756.58573,25091.63815, , 
2920,-13109.64273,SprayTrees,0.8;0.246,2012.189827,2927.417043, , 
2920,-295966.5958,SprayTrees,0.7;0.246,-1831.53305,-8332.411105, , 
2920,-572265.3689,NoAction,0;0;0;0;0;0;0,-4005.64753,-14301.12743, , 
2920,2641.469612,SprayTreesOTC,0.7;0.246;0.21;0.245,3127.757035,5694.115564, , 
2920,4999.528815,SprayTreesOTC,0.8;0.246;0.21;0.245,3127.757035,15335.05242, , 
3285,-107144.0002,SprayTrees,0.8;0.246,927.6623715,915.2272164, , 
3285,-439129.5813,SprayTrees,0.7;0.246,-2828.840489,-6500.878054, , 
3285,-748725.1773,NoAction,0;0;0;0;0;0;0,-4803.284311,-10295.4799, , 
3285,2029.638306,SprayTreesOTC,0.7;0.246;0.21;0.245,1831.257364,2566.358529, , 
3285,4334.1895,SprayTreesOTC,0.8;0.246;0.21;0.245,6714.711083,12207.29538, , 
3650,-214143.6563,SprayTrees,0.8;0.246,-12.43515513,-12.43515513, , 
3650,-595974.2755,SprayTrees,0.7;0.246,-3672.037565,-3672.037565, , 
3650,-936932.3932,NoAction,0;0;0;0;0;0;0,-5492.195593,-5492.195593, , 
3650,1512.351112,SprayTreesOTC,0.7;0.246;0.21;0.245,735.1011656,735.1011656, , 
3650,3757.455512,SprayTreesOTC,0.8;0.246;0.21;0.245,5492.584298,5492.584298, , 